schema_version,audience_id,name,persona_role,installer_role,origin_country_code,residence_country_code,region,language,age_min,age_max,diaspora_status,targeting_method,platform_audience_id,exclusions,created_at_utc,notes
1,aud_20260716_broad1,Nepal and diaspora launch discovery,adult household discovery,self_or_family,NP,,Nepal and diaspora,ne|en,18,80,mixed,organic_hypothesis,,minors; sensitive religion caste health finance or relationship inference,2026-07-16T12:45:00Z,Campaign umbrella only; split every publication by actual residence market.
1,aud_20260716_diaspc,Diaspora adult child or household installer,adult child,family_enabler,NP,,Nepali diaspora,ne|en,25,44,diaspora,organic_hypothesis,,minors; guilt-based family targeting; sensitive attributes,2026-07-16T12:45:00Z,Discovery hypothesis only; create one audience row per residence country before publication.
1,aud_20260716_npprnt,Nepali parent or grandparent,parent or grandparent,primary_user,NP,NP,Nepal,ne|en,40,80,nepal,organic_hypothesis,,minors; sensitive attributes,2026-07-16T12:45:00Z,Documented core product audience.
1,aud_20260716_plannr,Household calendar keeper,calendar keeper,self_or_family,NP,,Nepal and diaspora,ne|en,35,70,mixed,organic_hypothesis,,minors; sensitive attributes,2026-07-16T12:45:00Z,Patro hypothesis; split residence market before publication.
1,aud_20260716_depths,Calculation depth seeker,precision seeker,self_or_family,NP,,Nepal and diaspora,ne|en,28,55,mixed,organic_hypothesis,,minors; deterministic outcome seekers; sensitive attributes,2026-07-16T12:45:00Z,Trust through visible traditional calculation evidence; split residence market before publication.
1,aud_20260716_lifese,Adult seeking life-period context,context seeker,self_or_family,NP,,Nepal and diaspora,ne|en,30,60,mixed,organic_hypothesis,,minors; fear or vulnerability targeting,2026-07-16T12:45:00Z,Dasha framed as context rather than fate; split residence market before publication.
1,aud_20260716_househ,Household decision maker,household planner,self_or_family,NP,,Nepal and diaspora,ne|en,30,65,mixed,organic_hypothesis,,minors; urgent medical or safety decisions,2026-07-16T12:45:00Z,Muhurat as traditional planning support; split residence market before publication.
1,aud_20260716_couple,Couple or engaged adult,relationship participant,self_or_family,NP,,Nepal and diaspora,ne|en,24,39,mixed,organic_hypothesis,,minors; inferred marital fertility caste or health status,2026-07-16T12:45:00Z,Matching evidence is context and never a relationship verdict; split residence market before publication.
1,aud_20260716_senior,Older voice-input user,older primary user,primary_user,NP,,Nepal and diaspora,ne|en,45,80,mixed,organic_hypothesis,,minors; age-based incapacity framing,2026-07-16T12:45:00Z,Accessibility without caricature; split residence market before publication.
1,aud_20260716_diaqr1,Diaspora trusted-profile sharer,diaspora adult child,family_enabler,NP,,Nepali diaspora,ne|en,25,44,diaspora,organic_hypothesis,,minors; sensitive birth-data targeting,2026-07-16T12:45:00Z,Private Kundli QR is only for someone the user trusts; create one audience row per residence country before publication.
1,aud_20260716_parcon,Parent seeking family context,parent or family coordinator,primary_user,NP,,Nepal and diaspora,ne|en,40,70,mixed,organic_hypothesis,,minors; child danger exam visa health or outcome anxiety,2026-07-16T12:45:00Z,Calm member-aware guidance without surveillance claims; split residence market before publication.
1,aud_20260716_ritual,Daily Panchang and planning user,daily guidance user,primary_user,NP,,Nepal and diaspora,ne|en,35,70,mixed,organic_hypothesis,,minors; deterministic day or omen claims,2026-07-16T12:45:00Z,Daily cultural utility; split residence market before publication.
1,aud_20260716_onbord,New user or adult child helping a parent,new household user,self_or_family,NP,,Nepal and diaspora,ne|en,25,65,mixed,organic_hypothesis,,minors; real birth data in marketing capture,2026-07-16T12:45:00Z,Onboarding payoff using synthetic profile only; split residence market before publication.
