schema_version,concept_id,name,job_to_be_done,persona_role,core_tension,promise,proof_feature,emotion,hook_family,cta_family,claim_risk,status,created_at_utc,supersedes_concept_id
1,cpt_20260716_fam001,The question is about family,Ask about the right saved family member,diaspora adult child,A generic horoscope does not understand the household,Keep selected family birth profiles together and ask with member context,My Kundli & QR profiles and member-aware Jyotish Baje,care,family_question,see_family_context,low,approved,2026-07-16T12:45:00Z,
1,cpt_20260716_nep001,Made to be read in Nepali,Use Jyotish without translating the interface,parent or grandparent,Many apps make Nepali users adapt to English,Switch the shipped app between Nepali and English,Nepali and English interface switch,recognition,nepali_first,try_in_nepali,low,approved,2026-07-16T12:45:00Z,
1,cpt_20260716_pat001,The family date keeper,Keep Nepali dates tithis and a family event together,household calendar keeper,Calendar and family context are fragmented,Browse Bikram Sambat dates and save family events in Nepali dates,Patro with tithi and saved event,continuity,family_date,open_patro,low,approved,2026-07-16T12:45:00Z,
1,cpt_20260716_kun001,Built from a real Kundali,Inspect the calculation behind guidance,calculation depth seeker,Generic horoscope copy does not earn trust,Generate a Kundali and inspect Lagna Rashi Nakshatra and Dasha,Computed Kundali detail,trust,precision_proof,see_kundali,medium,approved,2026-07-16T12:45:00Z,
1,cpt_20260716_dsh001,Which life chapter is this,Understand the current Dasha in ordinary language,life-period context seeker,Technical periods are hard to interpret,Explore current Mahadasha and Antardasha boundaries with dated evidence,Dasha prepared report,orientation,life_chapter,explore_dasha,medium,approved,2026-07-16T12:45:00Z,
1,cpt_20260716_muh001,Before the family chooses a time,Find traditional timing for a planned family action,household decision maker,Auspicious timing is often opaque,Find a Muhurat and inspect supporting Panchang factors,Muhurat Finder and Panchang evidence,deliberation,decision_moment,find_muhurat,medium,approved,2026-07-16T12:45:00Z,
1,cpt_20260716_mat001,A score is not the whole relationship,Explore traditional compatibility without surrendering the decision,couple or engaged adult,A single score can become a harmful verdict,See traditional matching evidence explained as context,Kundli matching with Ashtakoota context,shared_agency,not_just_score,explore_match,high,approved,2026-07-16T12:45:00Z,
1,cpt_20260716_voc001,Ask without typing,Ask naturally when typing is inconvenient,older primary user,Typing can block otherwise useful guidance,Dictate a question and edit the transcript before sending,Optional voice input and editable transcript,relief,no_typing,try_voice,low,approved,2026-07-16T12:45:00Z,
1,cpt_20260716_dia001,One family two time zones,Move a chosen birth profile between trusted family devices,diaspora adult child,Distance makes family context hard to keep aligned,Share a profile by private Kundli QR with someone trusted,Private Kundli QR handoff,connection,two_time_zones,share_with_trusted_family,medium,approved,2026-07-16T12:45:00Z,
1,cpt_20260716_rel001,A family question needs family context,Ask guidance about a selected saved family member,parent or family coordinator,The concern is relational rather than generic,Ask using the selected complete family birth profile,Relationship-aware member guidance,care,family_context,ask_about_family,high,approved,2026-07-16T12:45:00Z,
1,cpt_20260716_pan001,Before the day begins,Understand today's traditional calendar context,daily planning user,Raw Panchang facts do not explain the day,See today's Panchang and local day details,Today's Panchang and Patro day details,orientation,morning_routine,see_today,low,approved,2026-07-16T12:45:00Z,
1,cpt_20260716_rev001,From a birth detail to a Kundali,Turn known birth details into immediate personalized evidence,new household user,Data entry needs an understandable payoff,Enter birth details and receive a computed Rashi Nakshatra and Kundali reveal,Onboarding computation ceremony and reveal,continuity,birth_note,make_kundali,medium,approved,2026-07-16T12:45:00Z,
